"MakeDate","Year","MonthDay","JyoCD","Kaiji","Nichiji","RaceNum","Num","KettoNum","Bamei","UmaKigoCD","SexCD","TozaiCD","ChokyosiCode","ChokyosiRyakusyo","Futan","Koryu"
"20240115","2024","0120","08","01","06","10","001","2020101275","アイファーテイオー","00","1","2","01046","鮫島一歩","570","0",
"20240115","2024","0120","08","01","06","10","002","2018100679","インテンスフレイム","00","1","2","01120","千田輝彦","580","0",
"20240115","2024","0120","08","01","06","10","003","2019103584","オラヴェリタス","00","1","2","01158","寺島良","580","0",
"20240115","2024","0120","08","01","06","10","004","2017105224","キングダムウイナー","00","1","2","01180","田中克典","580","0",
"20240115","2024","0120","08","01","06","10","005","2016105750","サダムゲンヤ","00","1","2","01069","中尾秀正","580","0",
"20240115","2024","0120","08","01","06","10","006","2018105996","サムハンター","00","1","2","01135","高橋康之","580","0",
"20240115","2024","0120","08","01","06","10","007","2018103711","シンヨモギネス","00","1","1","01023","伊藤圭三","580","0",
"20240115","2024","0120","08","01","06","10","008","2020104561","タイガースパーク","00","1","2","01065","大橋勇樹","570","0",
"20240115","2024","0120","08","01","06","10","009","2018104156","ダッシュダクラウン","00","3","2","01161","武英智","580","0",
"20240115","2024","0120","08","01","06","10","010","2019104080","ダノンフロイデ","00","1","2","01055","藤原英昭","580","0",
"20240115","2024","0120","08","01","06","10","011","2020104661","ダンテバローズ","00","1","2","01168","上村洋行","570","0",
"20240115","2024","0120","08","01","06","10","012","2018100247","テンウォークライ","00","1","1","01132","金成貴史","580","0",
"20240115","2024","0120","08","01","06","10","013","2019105330","パーサヴィアランス","00","1","2","01148","西村真幸","580","0",
"20240115","2024","0120","08","01","06","10","014","2019103420","ヒノデテイオー","05","1","2","01072","河内洋","580","0",
"20240115","2024","0120","08","01","06","10","015","2019106691","ビーアイオラクル","00","1","2","01123","牧田和弥","580","0",
"20240115","2024","0120","08","01","06","10","016","2020102045","フェルヴェンテ","00","1","2","00425","加用正","570","0",
"20240115","2024","0120","08","01","06","10","017","2020106635","メイショウシナノ","00","1","2","01065","大橋勇樹","570","0",
"20240115","2024","0120","08","01","06","10","018","2019106868","レディーシス","00","2","2","01085","小崎憲","560","0",
"20240115","2024","0120","08","01","06","10","019","2019102585","ワンダーブレット","00","3","2","01104","笹田和秀","580","0",
"20240115","2024","0120","08","01","06","11","001","2016106292","オールイズウェル","00","1","2","00429","佐々木晶","550","0",
"20240115","2024","0120","08","01","06","11","002","2019104159","カヨウネンカ","00","2","1","01086","斎藤誠","530","0",
"20240115","2024","0120","08","01","06","11","003","2018104800","ギャラントウォリア","00","3","2","01082","平田修","560","0",
"20240115","2024","0120","08","01","06","11","004","2019102327","ケデシュ","00","2","2","01168","上村洋行","530","0",
"20240115","2024","0120","08","01","06","11","005","2019105118","ジュンブロッサム","00","1","2","01061","友道康夫","570","0",
