"RecordSpec","DataKubun","MakeDate","Year","MonthDay","JyoCD","Kaiji","Nichiji","YoubiCD","Jyusyo1TokuNum","Jyusyo1Hondai","Jyusyo1Ryakusyo10","Jyusyo1Ryakusyo6","Jyusyo1Ryakusyo3","Jyusyo1Nkai","Jyusyo1GradeCD","Jyusyo1SyubetuCD","Jyusyo1KigoCD","Jyusyo1JyuryoCD","Jyusyo1Kyori","Jyusyo1TrackCD","Jyusyo2TokuNum","Jyusyo2Hondai","Jyusyo2Ryakusyo10","Jyusyo2Ryakusyo6","Jyusyo2Ryakusyo3","Jyusyo2Nkai","Jyusyo2GradeCD","Jyusyo2SyubetuCD","Jyusyo2KigoCD","Jyusyo2JyuryoCD","Jyusyo2Kyori","Jyusyo2TrackCD","Jyusyo3TokuNum","Jyusyo3Hondai","Jyusyo3Ryakusyo10","Jyusyo3Ryakusyo6","Jyusyo3Ryakusyo3","Jyusyo3Nkai","Jyusyo3GradeCD","Jyusyo3SyubetuCD","Jyusyo3KigoCD","Jyusyo3JyuryoCD","Jyusyo3Kyori","Jyusyo3TrackCD"
"YS","1","20231208","2024","0203","08","02","03","1","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0203","10","01","07","1","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0204","05","01","04","2","0063","東京新聞杯","東京新聞杯","東京新聞杯","東京新","074","C","14","N04","2","1600","11","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0204","08","02","04","2","0122","きさらぎ賞","きさらぎ賞","きさらぎ賞","きさら","064","C","12","N04","3","1800","18","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0204","10","01","08","2","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0210","05","01","05","1","0112","デイリー杯クイーンカップ","デイリー杯クイーンＣ","クイーンＣ","クイＣ","059","C","12","N24","3","1600","11","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0210","08","02","05","1","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0210","10","02","01","1","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0211","05","01","06","3","0113","共同通信杯","共同通信杯","共同通信杯","共同通","058","C","12","N04","3","1800","11","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0211","08","02","06","3","0042","京都記念","京都記念","京都記念","京都記","117","B","14","N04","2","2200","18","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0211","10","02","02","3","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0217","05","01","07","1","0062","ダイヤモンドステークス","ダイヤモンドＳ","ダイヤモンド","ダイヤ","074","C","14","N04","1","3400","11","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0217","08","02","07","1","0077","京都牝馬ステークス","京都牝馬ステークス","京都牝馬Ｓ","京都牝","059","C","14","N24","2","1400","18","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0217","10","02","03","1","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0218","05","01","08","2","0020","フェブラリーステークス","フェブラリーＳ","フェブラリー","フェブ","041","A","14","N01","4","1600","23","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0218","08","02","08","2","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0218","10","02","04","2","0093","小倉大賞典","小倉大賞典","小倉大賞典","小倉大","058","C","14","N04","1","1800","17","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0224","06","02","01","1","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0224","09","01","01","1","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0224","10","02","05","1","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0225","06","02","02","2","0023","中山記念","中山記念","中山記念","中山記","098","B","14","N01","2","1800","17","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0225","09","01","02","2","0079","阪急杯","阪急杯","阪急杯","阪急杯","068","C","14","N01","2","1400","17","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0225","10","02","06","2","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0302","06","02","03","1","0188","夕刊フジ賞オーシャンステークス","夕刊フジオーシャンＳ","オーシャンＳ","オーシ","019","C","14","N01","2","1200","18","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0302","09","01","03","1","0129","チューリップ賞","チューリップ賞","チューリップ","チュー","031","B","12","N21","3","1600","18","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0302","10","02","07","1","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0303","06","02","04","2","0114","報知杯弥生賞ディープインパクト記念","報知弥生ディープ記念","ディープ記念","デプ記","061","B","12","N01","3","2000","17","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0303","09","01","04","2","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0303","10","02","08","2","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0309","06","02","05","1","0065","ローレル競馬場賞中山牝馬ステークス","中山牝馬ステークス","中山牝馬Ｓ","中山牝","042","C","14","N24","1","1800","17","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0309","07","01","01","1","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0309","09","01","05","1","0164","阪神スプリングジャンプ","阪神スプリングＪ","阪神スプリＪ","阪ＳＪ","026","G","19","A00","2","3900","54","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0310","06","02","06","2","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0310","07","01","02","2","0097","金鯱賞","金鯱賞","金鯱賞","金鯱賞","060","B","14","N01","2","2000","11","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0310","09","01","06","2","0051","報知杯フィリーズレビュー","フィリーズレビュー","Ｆレビュー","Ｆレビ","058","B","12","N21","3","1400","17","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0316","06","02","07","1","0119","フラワーカップ","フラワーカップ","フラワーＣ","フラワ","038","C","12","N24","3","1800","17","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0316","07","01","03","1","0128","中日スポーツ賞ファルコンステークス","中スポ賞ファルコンＳ","ファルコンＳ","ファル","038","C","12","N04","3","1400","11","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0316","09","01","07","1","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0317","06","02","08","2","0030","フジテレビ賞スプリングステークス","フジＴＶスプリングＳ","スプリングＳ","スプＳ","073","B","12","N41","3","1800","17","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0317","07","01","04","2","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
