"RecordSpec","DataKubun","MakeDate","KettoNum","HansyokuFNum","HansyokuMNum","BirthYear","SaleCode","SaleHostName","SaleName","FromDate","ToDate","Barei","Price"
"HS","1","20070808","1995104393","11201287","12235901","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0010300000",
"HS","1","20070808","1995104533","11201386","12235097","1995","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19970512","19970512","2","0002835000",
"HS","1","20070808","1995104538","11201386","12225369","1995","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19970512","19970512","2","0003255000",
"HS","1","20070808","1995104623","11201476","12234646","1995","005001","ひだか東農業協同組合","ひだかトレーニングセール","19970513","19970513","2","0011025000",
"HS","1","20070808","1995104703","11201483","12213805","1995","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19970512","19970512","2","0005355000",
"HS","1","20070808","1995104719","11201450","12224327","1995","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19970512","19970512","2","0010605000",
"HS","1","20070808","1995104956","11201354","12229004","1995","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19970512","19970512","2","0006300000",
"HS","1","20070808","1995105023","11201345","12231172","1995","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19970512","19970512","2","0012705000",
"HS","1","20070808","1995105024","11201221","12227870","1995","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19970512","19970512","2","0012285000",
"HS","1","20070808","1995105125","11200922","12226772","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0004326000",
"HS","1","20070808","1995105167","11201436","12228574","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0005150000",
"HS","1","20070808","1995105527","11201401","12229425","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0016480000",
"HS","1","20070808","1995105582","11200934","12228536","1995","005001","ひだか東農業協同組合","ひだかトレーニングセール","19970513","19970513","2","0004200000",
"HS","1","20070808","1995105765","11200670","12234903","1995","005001","ひだか東農業協同組合","ひだかトレーニングセール","19970513","19970513","2","0005355000",
"HS","1","20070808","1995105892","11201354","12230146","1995","005001","ひだか東農業協同組合","ひだかトレーニングセール","19970513","19970513","2","0024675000",
"HS","1","20070808","1995105938","11201182","12232206","1995","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19970512","19970512","2","0003780000",
"HS","1","20070808","1995105966","11201440","12225010","1995","005001","ひだか東農業協同組合","ひだかトレーニングセール","19970513","19970513","2","0007455000",
"HS","1","20070808","1995105990","11201305","12226061","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0002060000",
"HS","1","20070808","1995106016","11200991","12234920","1995","005001","ひだか東農業協同組合","ひだかトレーニングセール","19970513","19970513","2","0006825000",
"HS","1","20070808","1995106020","11201449","12228370","1995","005001","ひだか東農業協同組合","ひだかトレーニングセール","19970513","19970513","2","0008925000",
"HS","1","20070808","1995106085","11201225","12230169","1995","005001","ひだか東農業協同組合","ひだかトレーニングセール","19970513","19970513","2","0003255000",
"HS","1","20070808","1995106096","11201293","12230129","1995","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19970512","19970512","2","0003780000",
"HS","1","20070808","1995106128","11200449","12236421","1995","005001","ひだか東農業協同組合","ひだかトレーニングセール","19970513","19970513","2","0009450000",
"HS","1","20070808","1995106132","11201222","12220356","1995","005001","ひだか東農業協同組合","ひだかトレーニングセール","19970513","19970513","2","0004200000",
"HS","1","20070808","1995106159","11201417","12232294","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0008240000",
"HS","1","20070808","1995106348","11200405","12214596","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0005974000",
"HS","1","20070808","1995106365","11201387","12230212","1995","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19970512","19970512","2","0005670000",
"HS","1","20070808","1995106643","11201101","12222590","1995","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19970512","19970512","2","0004830000",
"HS","1","20070808","1995106648","11201253","12231133","1995","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19970512","19970512","2","0003255000",
"HS","1","20070808","1995106825","11200760","12222846","1995","005001","ひだか東農業協同組合","ひだかトレーニングセール","19970513","19970513","2","0003150000",
"HS","1","20070808","1995107043","11201410","12229156","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0003090000",
"HS","1","20070808","1995107049","11200934","12234282","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0003090000",
"HS","1","20070808","1995107055","11201255","12227846","1995","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19970512","19970512","2","0006300000",
